title,price
Apple iPhone 13 (128GB) - Starlight,"??51,499"
Apple iPhone 14 (128 GB) - Blue,"??61,999"
Apple iPhone 13 (128GB) - Pink,"??51,499"
Apple iPhone 13 (128GB) - Starlight,"??51,499"
Apple iPhone 11 (64GB) - White,"??43,900"
Apple iPhone 13 (128GB) - (Product) RED,"??51,499"
Apple iPhone 14 (128 GB) - Midnight,"??61,999"
Apple iPhone 14 (128 GB) - Starlight,"??61,999"
Apple iPhone 14 Pro (128 GB) - Gold,"??1,19,900"
Apple iPhone 12 (64GB) - (Product) RED,"??48,990"
Apple iPhone 13 (128GB) - Midnight,"??51,499"
Apple iPhone 13 (128GB) - Green,"??51,499"
Apple iPhone 14 (128 GB) - Blue,"??61,999"
Apple iPhone 14 Pro Max (256 GB) - Gold,"??1,39,990"
Apple iPhone 13 (128GB) - Blue,"??51,499"
Apple iPhone 14 Plus (128 GB) - Midnight,"??70,999"
Apple iPhone 14 Plus (128 GB) - Blue,"??70,999"
Apple iPhone 14 (256 GB) - Blue,"??71,999"
